planning_area,senior_officials_managers,professionals,associate_professionals_tech,clerical,service_sales,agricultural_fishery,production_craftsmen,plant_machine_operators,cleaners_labourers,workers_not_classified,year
Ang Mo Kio,15100,17500,16800,11100,13600,0,4700,7900,11100,0,2015
Bedok,29700,28100,27500,17900,17700,0,5600,8700,11500,0,2015
Bishan,11700,12000,9400,5300,4500,0,900,1700,2100,0,2015
Boon Lay,0,0,0,0,0,0,0,0,0,0,2015
Bukit Batok,13000,14300,15100,9500,8800,0,2900,4900,4900,0,2015
Bukit Merah,11900,15100,13800,9200,12100,0,2500,6000,9300,0,2015
Choa Chu Kang,12200,16500,22900,13200,10700,0,3700,8100,6300,0,2015
Bukit Panjang,12000,13600,16400,9800,8100,0,4500,6600,6100,0,2015
Jurong East,5700,8300,8900,6100,5500,0,1900,3900,4300,0,2015
Queenstown,8700,10900,9300,5100,5900,0,1100,3100,3800,0,2015
Jurong West,19400,23500,33500,21500,17100,0,7900,15400,14100,0,2015
Bukit Timah,14200,13100,4600,1600,1200,0,300,300,400,0,2015
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,2015
Changi,0,0,0,0,0,0,0,0,0,0,2015
Changi Bay,0,0,0,0,0,0,0,0,0,0,2015
Tengah,0,0,0,0,0,0,0,0,0,0,2015
Clementi,9000,11100,8700,4600,4200,0,1000,2700,3800,0,2015
Geylang,8900,11100,11300,7100,8500,0,2700,3600,6300,0,2015
Hougang,18000,19100,25500,17600,14700,0,4300,8800,8800,0,2015
Pioneer,0,0,0,0,0,0,0,0,0,0,2015
Punggol,9600,13900,14700,6800,6000,0,1900,2800,3000,0,2015
Seletar,0,0,0,0,0,0,0,0,0,0,2015
Sembawang,6200,9400,10100,6700,5500,0,2100,2800,3100,0,2015
Sengkang,17900,25300,27400,15900,14800,0,4300,8300,6800,0,2015
Serangoon,15600,14000,13200,8000,6400,0,1800,3000,3500,0,2015
Simpang,0,0,0,0,0,0,0,0,0,0,2015
Southern Islands,0,0,0,0,0,0,0,0,0,0,2015
Sungei Kadut,0,0,0,0,0,0,0,0,0,0,2015
Tampines,20700,26000,32000,21900,18800,0,6000,11000,11000,0,2015
Tanglin,5000,2600,800,300,100,0,0,0,0,0,2015
Toa Payoh,10700,13100,13200,8200,9600,0,1900,4600,5900,0,2015
Tuas,0,0,0,0,0,0,0,0,0,0,2015
Western Islands,0,0,0,0,0,0,0,0,0,0,2015
Western Water Catchment,0,0,0,0,0,0,0,0,0,0,2015
Woodlands,12500,19400,28400,17900,18400,0,9300,12400,11000,0,2015
Yishun,13100,16200,24500,15900,18400,0,5900,10300,10400,0,2015
Downtown Core,0,0,0,0,0,0,0,0,0,0,2015
Marina East,0,0,0,0,0,0,0,0,0,0,2015
Marina South,0,0,0,0,0,0,0,0,0,0,2015
Museum,0,0,0,0,0,0,0,0,0,0,2015
Newton,0,0,0,0,0,0,0,0,0,0,2015
Orchard,0,0,0,0,0,0,0,0,0,0,2015
Outram,1700,2000,2500,1100,2100,0,100,700,1300,0,2015
Kallang,10100,10200,9800,6200,8000,0,2200,2900,5300,0,2015
Lim Chu Kang,0,0,0,0,0,0,0,0,0,0,2015
Mandai,0,0,0,0,0,0,0,0,0,0,2015
Marine Parade,6800,5200,3400,1800,1800,0,500,500,1000,0,2015
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,2015
Novena,5600,6500,3400,1900,2400,0,700,1100,1700,0,2015
Pasir Ris,14000,12200,19000,10800,9300,0,2700,3800,2700,0,2015
Paya Lebar,0,0,0,0,0,0,0,0,0,0,2015
River Valley,0,0,0,0,0,0,0,0,0,0,2015
Rochor,0,0,0,0,0,0,0,0,0,0,2015
Singapore River,0,0,0,0,0,0,0,0,0,0,2015
Straits View,0,0,0,0,0,0,0,0,0,0,2015
Ang Mo Kio,13371,18975,16365,8058,10569,,2498,6222,8536,,2020
Bedok,29967,34327,25895,13396,15757,,3604,8535,10261,,2020
Bishan,10648,15233,8355,3727,3883,,890,1612,1816,,2020
Boon Lay,0,0,0,0,0,,0,0,0,,2020
Bukit Batok,13988,21414,18440,8629,10036,,2772,6168,6792,,2020
Bukit Merah,14147,19252,13562,6467,9938,,1778,4397,7541,,2020
Choa Chu Kang,13195,23559,25802,12449,12368,,3328,9462,7448,,2020
Bukit Panjang,10919,16782,15836,7806,9031,,2397,6707,5563,,2020
Jurong East,5019,8870,8788,4468,4894,,1542,3502,3724,,2020
Queenstown,8712,14474,8480,4168,4769,,939,2254,3517,,2020
Jurong West,16544,27999,32708,16934,17604,,5639,14540,12817,,2020
Bukit Timah,13875,14138,4592,1272,1207,,206,310,360,,2020
Central Water Catchment,0,0,0,0,0,,0,0,0,,2020
Changi,0,0,0,0,0,,0,0,0,,2020
Changi Bay,0,0,0,0,0,,0,0,0,,2020
Tengah,0,0,0,0,0,,0,0,0,,2020
Clementi,8895,14231,8729,3907,4331,,950,2384,3283,,2020
Geylang,10028,13364,10942,6136,8248,,1966,3782,5455,,2020
Hougang,19776,28167,25356,13253,15332,,4075,9322,8868,,2020
Pioneer,0,0,0,0,0,,0,0,0,,2020
Punggol,14113,24301,22004,9554,11317,,2091,5698,4286,,2020
Seletar,0,0,0,0,0,,0,0,0,,2020
Sembawang,7619,14003,13347,6152,7080,,1924,4226,3483,,2020
Sengkang,21140,34384,30435,14255,16749,,3837,9077,8003,,2020
Serangoon,14387,17752,11666,5496,5647,,1270,2627,3150,,2020
Simpang,0,0,0,0,0,,0,0,0,,2020
Southern Islands,0,0,0,0,0,,0,0,0,,2020
Sungei Kadut,0,0,0,0,0,,0,0,0,,2020
Tampines,18467,32185,32113,15663,18581,,4141,10391,9271,,2020
Tanglin,4794,3831,884,211,227,,17,43,39,,2020
Toa Payoh,10446,16191,11509,5944,7784,,1705,3619,4921,,2020
Tuas,0,0,0,0,0,,0,0,0,,2020
Western Islands,0,0,0,0,0,,0,0,0,,2020
Western Water Catchment,0,0,0,0,0,,0,0,0,,2020
Woodlands,13087,24902,32170,15257,19309,,5744,12895,10832,,2020
Yishun,13898,23861,26115,13131,17945,,4403,9862,9752,,2020
Downtown Core,824,720,222,98,59,,9,4,9,,2020
Marina East,0,0,0,0,0,,0,0,0,,2020
Marina South,0,0,0,0,0,,0,0,0,,2020
Museum,0,0,0,0,0,,0,0,0,,2020
Newton,0,0,0,0,0,,0,0,0,,2020
Orchard,0,0,0,0,0,,0,0,0,,2020
Outram,1589,2259,1480,654,1258,,179,484,1263,,2020
Kallang,10218,13024,9103,4891,6661,,1488,3167,5340,,2020
Lim Chu Kang,0,0,0,0,0,,0,0,0,,2020
Mandai,0,0,0,0,0,,0,0,0,,2020
Marine Parade,7155,6684,3153,1451,1565,,286,578,780,,2020
North-Eastern Islands,0,0,0,0,0,,0,0,0,,2020
Novena,6795,7813,3504,1770,2220,,400,985,1126,,2020
Pasir Ris,14178,20773,19221,8709,9064,,1931,4810,3163,,2020
Paya Lebar,0,0,0,0,0,,0,0,0,,2020
River Valley,2461,1927,554,151,129,,0,21,16,,2020
Rochor,0,0,0,0,0,,0,0,0,,2020
Singapore River,0,0,0,0,0,,0,0,0,,2020
Straits View,0,0,0,0,0,,0,0,0,,2020
