District,Postal_Code Area,Planning Area
01,"Raffles Place, Cecil, Marina, People's Park","Downtown Core, Marina East, Marina South, Southern Islands"
02,"Anson, Tanjong Pagar",Outram
03,"Queenstown, Tiong Bahru","Bukit Merah, Queenstown"
04,"Telok Blangah, Harbourfront","Bukit Merah, Southern Islands, Straits View"
05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",Clementi
06,"High Street, Beach Road (part)","Downtown Core, Museum, Singapore River"
07,"Middle Road, Golden Mile",Rochor
08,"Little India, Farrer Park, Jalan Besar, Lavender",Kallang
09,"Orchard, Cairnhill, River Valley","Newton, Orchard, River Valley"
10,"Ardmore, Bukit Timah, Holland Road, Tanglin Road","Bukit Timah, Tanglin"
11,"Watten Estate, Novena, Thomson","Bukit Timah, Newton, Novena"
12,"Balestier, Toa Payoh, Serangoon","Kallang, Toa Payoh"
13,"Macpherson, Braddell",Toa Payoh
14,"Geylang, Eunos","Geylang, Kallang, Paya Lebar"
15,"Katong, Joo Chiat, Amber Road",Marine Parade
16,"Bedok, Upper East Coast, Eastwood, Kew Drive",Bedok
17,"Flora, Loyang, Changi","Changi, Changi Bay"
18,"Tampines, Pasir Ris, Loyang","Pasir Ris, Tampines, North-Eastern Islands"
19,"Serangoon Garden, Hougang, Punggol, Sengkang","Hougang, Punggol, Sengkang, Serangoon"
20,"Bishan, Ang Mo Kio","Ang Mo Kio, Bishan"
21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",Bukit Timah
22,"Jurong, Boon Lay, Tuas","Boon Lay, Jurong East, Jurong West, Pioneer, Tuas, Western Islands"
23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang","Bukit Batok, Bukit Panjang, Choa Chu Kang"
24,"Lim Chu Kang, Tengah","Lim Chu Kang, Tengah"
25,"Kranji, Woodgrove, Woodlands","Sungei Kadut, Woodlands, Mandai"
26,"Upper Thomson, Springleaf","Ang Mo Kio, Central Water Catchment"
27,"Yishun, Sembawang, Canberra","Sembawang, Yishun, Simpang"
28,Seletar,Seletar
