Planning Area, District, Postal_Code Area
Ang Mo Kio, 20, "Bishan, Ang Mo Kio"
Bedok, 16, "Bedok, Upper East Coast, Eastwood, Kew Drive"
Bishan, 20, "Bishan, Ang Mo Kio"
Boon Lay, 22, "Jurong, Boon Lay, Tuas"
Bukit Batok, 23, "Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
Bukit Merah, 03, "Queenstown, Tiong Bahru"
Bukit Merah, 04, "Telok Blangah, Harbourfront"
Bukit Panjang, 23, "Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
Bukit Timah, 10, "Ardmore, Bukit Timah, Holland Road, Tanglin Road"
Bukit Timah, 11, "Watten Estate, Novena, Thomson"
Bukit Timah, 21, "Upper Bukit Timah, Clementi Park, Ulu Pandan"
Central Water Catchment, 26, "Upper Thomson, Springleaf"
Changi, 17, "Flora, Loyang, Changi"
Changi Bay, 17, "Flora, Loyang, Changi"
Choa Chu Kang, 23, "Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
Clementi, 05, "Pasir Panjang, Hong Leong Garden, Clementi New Town"
Downtown Core, 01, "Raffles Place, Cecil, Marina, People's Park"
Downtown Core, 06, "High Street, Beach Road (part)"
Geylang, 14, "Geylang, Eunos"
Hougang, 19, "Serangoon Garden, Hougang, Punggol, Sengkang"
Jurong East, 22, "Jurong, Boon Lay, Tuas"
Jurong West, 22, "Jurong, Boon Lay, Tuas"
Kallang, 08, "Little India, Farrer Park, Jalan Besar, Lavender"
Kallang, 12, "Balestier, Toa Payoh, Serangoon"
Kallang, 14, "Geylang, Eunos"
Lim Chu Kang, 24, "Lim Chu Kang, Tengah"
Mandai, 25, "Kranji, Woodgrove, Woodlands"
Marina East, 01, "Raffles Place, Cecil, Marina, People's Park"
Marina South, 01, "Raffles Place, Cecil, Marina, People's Park"
Marine Parade, 15, "Katong, Joo Chiat, Amber Road"
Newton, 09, "Orchard, Cairnhill, River Valley"
Newton, 11, "Watten Estate, Novena, Thomson"
North-Eastern Islands, 18, "Tampines, Pasir Ris, Loyang"
Novena, 11, "Watten Estate, Novena, Thomson"
Orchard, 09, "Orchard, Cairnhill, River Valley"
Outram, 02, "Anson, Tanjong Pagar"
Paya Lebar, 14, "Geylang, Eunos"
Pioneer, 22, "Jurong, Boon Lay, Tuas"
Punggol, 19, "Serangoon Garden, Hougang, Punggol, Sengkang"
Queenstown, 03, "Queenstown, Tiong Bahru"
River Valley, 09, "Orchard, Cairnhill, River Valley"
Rochor, 07, "Middle Road, Golden Mile"
Seletar, 28, "Seletar"
Sembawang, 27, "Yishun, Sembawang, Canberra"
Sengkang, 19, "Serangoon Garden, Hougang, Punggol, Sengkang"
Serangoon, 19, "Serangoon Garden, Hougang, Punggol, Sengkang"
Simpang, 27, "Yishun, Sembawang, Canberra"
Singapore River, 06, "High Street, Beach Road (part)"
Southern Islands, 01, "Raffles Place, Cecil, Marina, People's Park"
Straits View, 04, "Telok Blangah, Harbourfront"
Sungei Kadut, 25, "Kranji, Woodgrove, Woodlands"
Tampines, 18, "Tampines, Pasir Ris, Loyang"
Tanglin, 10, "Ardmore, Bukit Timah, Holland Road, Tanglin Road"
Tengah, 24, "Lim Chu Kang, Tengah"
Toa Payoh, 12, "Balestier, Toa Payoh, Serangoon"
Toa Payoh, 13, "Macpherson, Braddell"
Tuas, 22, "Jurong, Boon Lay, Tuas"
Western Islands, 22, "Jurong, Boon Lay, Tuas"
Western Water Catchment, 24, "Lim Chu Kang, Tengah"
Woodlands, 25, "Kranji, Woodgrove, Woodlands"
Yishun, 27, "Yishun, Sembawang, Canberra"
