industry,collar
manufacturing,blue
construction,blue
wholesale_retail_trade,service
transportation_storage,blue
accommodation_food_services,service
information_communications,white
financial_insurance_services,white
real_estate_services,white
professional_services,white
admin_support_services,white
public_admin_education,white
health_social_services,service
arts_entertainment_recreation,service
other_comm_social_personal,other
others,other
hotels_restaurants,service
transport_communications,blue
business_services,white
other_services_industries,service
