"region","districts","Postal.Code","nea_region","station"
"central","01","01","south","Marina Barrage"
"central","01","03","south","Marina Barrage"
"central","01","04","south","Marina Barrage"
"central","01","05","south","Marina Barrage"
"central","01","06","south","Marina Barrage"
"central","02","07","south","Marina Barrage"
"central","02","08","south","Marina Barrage"
"central","03","14","south","Pasir Panjang"
"central","03","15","south","Pasir Panjang"
"central","03","16","south","Pasir Panjang"
"central","04","09","south","Pasir Panjang"
"central","04","10","south","Pasir Panjang"
"central","06","17","south","Marina Barrage"
"central","07","18","central","Marina Barrage"
"central","07","19","central","Marina Barrage"
"northeast","19","53","north","Tai Seng"
"northeast","19","54","north","Tai Seng"
"northeast","19","55","north","Tai Seng"
"northeast","19","82","north","Tai Seng"
"northeast","20","56","north","Ang Mo Kio"
"northeast","20","57","north","Ang Mo Kio"
"northeast","25","72","north","Admiralty"
"northeast","25","73","north","Admiralty"
"northeast","26","77","north","Khatib"
"northeast","26","78","north","Khatib"
"northeast","27","75","north","Admiralty"
"northeast","27","76","north","Admiralty"
"northeast","28","79","north","Khatib"
"northeast","28","80","north","Khatib"
"northwest","05","11","west","Pasir Panjang"
"northwest","05","12","west","Pasir Panjang"
"northwest","05","13","west","Pasir Panjang"
"northwest","21","58","west","Clementi"
"northwest","21","59","west","Clementi"
"northwest","22","60","west","Jurong (West)"
"northwest","22","61","west","Jurong (West)"
"northwest","22","62","west","Jurong (West)"
"northwest","22","63","west","Jurong (West)"
"northwest","22","64","west","Jurong (West)"
"northwest","23","65","west","Choa Chu Kang (South)"
"northwest","23","66","west","Choa Chu Kang (South)"
"northwest","23","67","west","Choa Chu Kang (South)"
"northwest","23","68","west","Choa Chu Kang (South)"
"northwest","24","69","west","Choa Chu Kang (South)"
"northwest","24","70","west","Choa Chu Kang (South)"
"northwest","24","71","west","Choa Chu Kang (South)"
"southeast","13","34","east","Tai Seng"
"southeast","13","35","east","Tai Seng"
"southeast","13","36","east","Tai Seng"
"southeast","13","37","east","Tai Seng"
"southeast","14","38","east","East Coast Parkway"
"southeast","14","39","east","East Coast Parkway"
"southeast","14","40","east","East Coast Parkway"
"southeast","14","41","east","East Coast Parkway"
"southeast","15","02","east","East Coast Parkway"
"southeast","15","42","east","East Coast Parkway"
"southeast","15","43","east","East Coast Parkway"
"southeast","15","44","east","East Coast Parkway"
"southeast","15","45","east","East Coast Parkway"
"southeast","16","46","east","East Coast Parkway"
"southeast","16","47","east","East Coast Parkway"
"southeast","16","48","east","East Coast Parkway"
"southeast","17","49","east","Changi"
"southeast","17","50","east","Changi"
"southeast","17","81","east","Changi"
"southeast","18","51","east","Changi"
"southeast","18","52","east","Changi"
"southwest","08","20","central","Marina Barrage"
"southwest","08","21","central","Marina Barrage"
"southwest","09","22","central","Newton"
"southwest","09","23","central","Newton"
"southwest","10","24","central","Newton"
"southwest","10","25","central","Newton"
"southwest","10","26","central","Newton"
"southwest","10","27","central","Newton"
"southwest","11","28","central","Newton"
"southwest","11","29","central","Newton"
"southwest","11","30","central","Newton"
"southwest","12","31","east","Tai Seng"
"southwest","12","32","east","Tai Seng"
"southwest","12","33","east","Tai Seng"
NA,NA,"0n","national","NATIONAL"
NA,NA,"99","national","NATIONAL"
